zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2014
37010,STANDARD,0,Adams,,,TN,Montgomery County,,"615,931",NA,US,36.58,-87.06,5080
37011,PO BOX,0,Antioch,,,TN,Davidson County,America/Chicago,615,NA,US,36.04,-86.64,1107
37012,STANDARD,0,Alexandria,,,TN,DeKalb County,,,NA,US,36.07,-86.03,1870
37013,STANDARD,0,Antioch,Cane Ridge,,TN,Davidson County,America/Chicago,615,NA,US,36.04,-86.64,83330
37014,STANDARD,0,Arrington,,Triune,TN,Williamson County,,615,NA,US,35.88,-86.63,1850
37015,STANDARD,0,Ashland City,,,TN,Cheatham County,,615,NA,US,36.27,-87.05,16510
37016,STANDARD,0,Auburntown,,,TN,Cannon County,,,NA,US,35.94,-86.09,760
37018,STANDARD,0,Beechgrove,,,TN,Coffee County,America/Chicago,931,NA,US,35.64,-86.2,1670
37019,STANDARD,0,Belfast,,,TN,Marshall County,America/Chicago,931,NA,US,35.4,-86.71,840
37020,STANDARD,0,Bell Buckle,,,TN,Bedford County,,"931,615",NA,US,35.59,-86.35,4600
37022,STANDARD,0,Bethpage,Rock Bridge,,TN,Sumner County,,615,NA,US,36.5,-86.3,4980
37023,STANDARD,0,Big Rock,,,TN,Stewart County,America/Chicago,931,NA,US,36.59,-87.78,1540
37024,PO BOX,0,Brentwood,,,TN,Williamson County,America/Chicago,615,NA,US,35.99,-86.78,888
37025,STANDARD,0,Bon Aqua,,,TN,Hickman County,,615,NA,US,35.94,-87.34,5400
37026,STANDARD,0,Bradyville,,,TN,Cannon County,America/Chicago,615,NA,US,35.69,-86.1,1940
37027,STANDARD,0,Brentwood,,Forest Hills,TN,Williamson County,America/Chicago,615,NA,US,35.99,-86.78,56160
37028,STANDARD,0,Bumpus Mills,,,TN,Stewart County,America/Chicago,931,NA,US,36.62,-87.85,520
37029,STANDARD,0,Burns,,,TN,Dickson County,America/Chicago,615,NA,US,36.05,-87.31,5270
37030,STANDARD,0,Carthage,"Defeated, So Carthage, South Carthage",Mc Clures Bend,TN,Smith County,America/Chicago,615,NA,US,36.25,-85.94,5890
37031,STANDARD,0,Castalian Springs,Castalin Spgs,Castalian Spg,TN,Sumner County,,,NA,US,36.38,-86.31,3650
37032,STANDARD,0,Cedar Hill,,,TN,Robertson County,America/Chicago,"615,931",NA,US,36.55,-87,4370
37033,STANDARD,0,Centerville,Pleasantville,"Aetna, Coble, Fairfield, Grinders, Shipps Bend",TN,Hickman County,America/Chicago,931,NA,US,35.79,-87.44,6110
37034,STANDARD,0,Chapel Hill,,,TN,Marshall County,,931,NA,US,35.62,-86.69,6350
37035,STANDARD,0,Chapmansboro,,,TN,Cheatham County,America/Chicago,"615,931",NA,US,36.37,-87.11,3290
37036,STANDARD,0,Charlotte,,,TN,Dickson County,,615,NA,US,36.18,-87.34,5070
37037,STANDARD,0,Christiana,,,TN,Rutherford County,America/Chicago,"615,931",NA,US,35.7,-86.34,6950
37040,STANDARD,0,Clarksville,,,TN,Montgomery County,America/Chicago,"615,931",NA,US,36.56,-87.34,44900
37041,PO BOX,0,Clarksville,,,TN,Montgomery County,America/Chicago,931,NA,US,36.56,-87.34,439
37042,STANDARD,0,Clarksville,,Sango,TN,Montgomery County,America/Chicago,931,NA,US,36.57,-87.42,68770
37043,STANDARD,0,Clarksville,,"Fredonia, Hickory Point, Hilldale",TN,Montgomery County,America/Chicago,"931,615",NA,US,36.49,-87.24,41670
37044,UNIQUE,0,Clarksville,,Austin Peay St Univ,TN,Montgomery County,America/Chicago,"931,615",NA,US,36.56,-87.34,45
37046,STANDARD,0,College Grove,,"Allisona, Bethesda",TN,Williamson County,,615,NA,US,35.77,-86.74,3730
37047,STANDARD,0,Cornersville,,,TN,Marshall County,,931,NA,US,35.35,-86.84,2140
37048,STANDARD,0,Cottontown,Walnut Grove,,TN,Sumner County,America/Chicago,615,NA,US,36.48,-86.59,5510
37049,STANDARD,0,Cross Plains,,,TN,Robertson County,America/Chicago,615,NA,US,36.54,-86.68,3230
37050,STANDARD,0,Cumberland City,Cumberlnd Cty,,TN,Stewart County,,931,NA,US,36.38,-87.64,1430
37051,STANDARD,0,Cumberland Furnace,Cmbrlnd Frnce,,TN,Dickson County,,615,NA,US,36.3,-87.4,3160
37052,STANDARD,0,Cunningham,,,TN,Montgomery County,America/Chicago,"615,931",NA,US,36.37,-87.43,2310
37055,STANDARD,0,Dickson,,,TN,Dickson County,America/Chicago,615,NA,US,36.07,-87.37,23970
37056,PO BOX,0,Dickson,,,TN,Dickson County,America/Chicago,615,NA,US,36.07,-87.37,898
37057,STANDARD,0,Dixon Springs,,,TN,Smith County,,615,NA,US,36.4,-86.04,680
37058,STANDARD,0,Dover,,Fort Donelson National Milit,TN,Stewart County,America/Chicago,931,NA,US,36.48,-87.84,5760
37059,STANDARD,0,Dowelltown,,,TN,DeKalb County,America/Chicago,615,NA,US,36.01,-85.94,1320
37060,STANDARD,0,Eagleville,,,TN,Rutherford County,,615,NA,US,35.74,-86.65,2340
37061,STANDARD,0,Erin,,,TN,Houston County,,931,NA,US,36.31,-87.7,4050
37062,STANDARD,0,Fairview,,,TN,Williamson County,America/Chicago,615,NA,US,35.97,-87.12,10560
37063,PO BOX,0,Fosterville,,,TN,Rutherford County,America/Chicago,615,NA,US,35.65,-86.4,0
37064,STANDARD,0,Franklin,,"Kingfield, Peytonsville, Rudderville",TN,Williamson County,America/Chicago,615,NA,US,35.88,-86.95,51990
37065,PO BOX,0,Franklin,,,TN,Williamson County,America/Chicago,615,NA,US,35.92,-86.84,625
37066,STANDARD,0,Gallatin,,,TN,Sumner County,America/Chicago,615,NA,US,36.37,-86.45,44420
37067,STANDARD,0,Franklin,,,TN,Williamson County,America/Chicago,615,NA,US,35.92,-86.84,26160
37068,PO BOX,0,Franklin,,,TN,Williamson County,America/Chicago,615,NA,US,35.92,-86.84,922
37069,STANDARD,0,Franklin,,,TN,Williamson County,America/Chicago,615,NA,US,35.99,-86.9,19500
37070,PO BOX,0,Goodlettsville,Goodlettsvlle,"Goodlettsvl, Goodlettsvle",TN,Davidson County,America/Chicago,615,NA,US,36.33,-86.7,794
37071,PO BOX,0,Gladeville,,,TN,Wilson County,America/Chicago,615,NA,US,36.08,-86.4,113
37072,STANDARD,0,Goodlettsville,Goodlettsvlle,Millersville,TN,Davidson County,America/Chicago,615,NA,US,36.33,-86.7,28090
37073,STANDARD,0,Greenbrier,,,TN,Robertson County,America/Chicago,615,NA,US,36.42,-86.8,12870
37074,STANDARD,0,Hartsville,,,TN,Trousdale County,,615,NA,US,36.39,-86.15,6070
37075,STANDARD,0,Hendersonville,Hendersonvlle,,TN,Sumner County,America/Chicago,615,NA,US,36.29,-86.6,60550
37076,STANDARD,0,Hermitage,,,TN,Davidson County,America/Chicago,615,NA,US,36.13,-86.58,34190
37077,PO BOX,0,Hendersonville,Hendersonvlle,,TN,Sumner County,America/Chicago,615,NA,US,36.29,-86.6,875
37078,STANDARD,0,Hurricane Mills,Hurricne Mlls,,TN,Humphreys County,America/Chicago,931,NA,US,35.94,-87.76,570
37079,STANDARD,0,Indian Mound,,,TN,Stewart County,,,NA,US,36.47,-87.66,2110
37080,STANDARD,0,Joelton,,,TN,Davidson County,America/Chicago,615,NA,US,36.33,-86.91,6670
37082,STANDARD,0,Kingston Springs,Kingston Spgs,,TN,Cheatham County,America/Chicago,615,NA,US,36.09,-87.1,5890
37083,STANDARD,0,Lafayette,,La Fayette,TN,Macon County,America/Chicago,615,NA,US,36.52,-86.03,12290
37085,STANDARD,0,Lascassas,,,TN,Rutherford County,,,NA,US,35.94,-86.29,4090
37086,STANDARD,0,La Vergne,,,TN,Rutherford County,America/Chicago,615,NA,US,35.99,-86.57,33360
37087,STANDARD,0,Lebanon,,,TN,Wilson County,America/Chicago,615,NA,US,36.2,-86.32,39480
37088,PO BOX,0,Lebanon,,,TN,Wilson County,America/Chicago,615,NA,US,36.2,-86.32,1385
37089,UNIQUE,0,La Vergne,,Ingram Entertainment Group,TN,Rutherford County,America/Chicago,615,NA,US,35.99,-86.57,0
37090,STANDARD,0,Lebanon,,,TN,Wilson County,America/Chicago,615,NA,US,36.11,-86.3,13790
37091,STANDARD,0,Lewisburg,,,TN,Marshall County,,931,NA,US,35.44,-86.78,18510
37095,STANDARD,0,Liberty,Gassaway,,TN,DeKalb County,,,NA,US,36,-85.98,1540
37096,STANDARD,0,Linden,Flatwoods,,TN,Perry County,America/Chicago,931,NA,US,35.61,-87.84,4590
37097,STANDARD,0,Lobelville,,,TN,Perry County,America/Chicago,931,NA,US,35.75,-87.79,1620
37098,STANDARD,0,Lyles,Wrigley,,TN,Hickman County,America/Chicago,"615,931",NA,US,35.87,-87.32,4550
37101,STANDARD,0,Mc Ewen,,Mcewen,TN,Humphreys County,,931,NA,US,36.1,-87.63,5440
37110,STANDARD,0,Mcminnville,"Centertown, Mc Minnville",,TN,Warren County,America/Chicago,931,NA,US,35.68,-85.77,26670
37111,PO BOX,0,Mcminnville,Mc Minnville,"Mc Minnvl, Mc Minnvle",TN,Warren County,America/Chicago,931,NA,US,35.68,-85.77,995
37115,STANDARD,0,Madison,,,TN,Davidson County,America/Chicago,615,NA,US,36.25,-86.69,35320
37116,PO BOX,0,Madison,,,TN,Davidson County,America/Chicago,615,NA,US,36.25,-86.69,785
37118,STANDARD,0,Milton,,,TN,Rutherford County,,,NA,US,35.92,-86.17,1240
37119,PO BOX,0,Mitchellville,,,TN,Sumner County,America/Chicago,615,NA,US,36.63,-86.53,25
37121,PO BOX,0,Mount Juliet,,Mt Juliet,TN,Wilson County,America/Chicago,615,NA,US,36.2,-86.52,652
37122,STANDARD,0,Mount Juliet,,,TN,Wilson County,America/Chicago,615,NA,US,36.2,-86.52,51670
37127,STANDARD,0,Murfreesboro,,"Mboro, Murfreesbr",TN,Rutherford County,America/Chicago,615,NA,US,35.78,-86.33,16170
37128,STANDARD,0,Murfreesboro,,"Mboro, Murfreesbr",TN,Rutherford County,America/Chicago,615,NA,US,35.78,-86.49,46880
37129,STANDARD,0,Murfreesboro,,"Mboro, Murfreesbr",TN,Rutherford County,America/Chicago,615,NA,US,35.93,-86.44,47710
37130,STANDARD,0,Murfreesboro,,"Mboro, Murfreesbr",TN,Rutherford County,America/Chicago,615,NA,US,35.85,-86.39,44910
37131,UNIQUE,0,Murfreesboro,,"Mboro, Murfreesbr, State Farm Ins Co",TN,Rutherford County,America/Chicago,615,NA,US,35.85,-86.39,0
37132,UNIQUE,0,Murfreesboro,,"Mboro, Middle Tenn State Univ, Murfreesbr",TN,Rutherford County,America/Chicago,615,NA,US,35.85,-86.36,195
37133,PO BOX,0,Murfreesboro,,"Mboro, Murfreesbr",TN,Rutherford County,America/Chicago,615,NA,US,35.85,-86.39,1223
37134,STANDARD,0,New Johnsonville,"Denver, New Johsonvle",,TN,Humphreys County,America/Chicago,931,NA,US,36.01,-87.95,2760
37135,STANDARD,0,Nolensville,,,TN,Williamson County,America/Chicago,615,NA,US,35.94,-86.64,13390
37136,PO BOX,0,Norene,,,TN,Wilson County,America/Chicago,615,NA,US,36.11,-86.29,0
37137,STANDARD,0,Nunnelly,,,TN,Hickman County,America/Chicago,931,NA,US,35.89,-87.52,2140
37138,STANDARD,0,Old Hickory,Lakewood,,TN,Davidson County,,615,NA,US,36.22,-86.61,21240
37140,STANDARD,0,Only,,,TN,Hickman County,America/Chicago,931,NA,US,35.87,-87.65,120
37141,STANDARD,0,Orlinda,,,TN,Robertson County,America/Chicago,615,NA,US,36.6,-86.67,1190
37142,STANDARD,0,Palmyra,,,TN,Montgomery County,America/Chicago,931,NA,US,36.41,-87.5,1540
37143,STANDARD,0,Pegram,,,TN,Cheatham County,America/Chicago,615,NA,US,36.1,-87.05,3700
37144,STANDARD,0,Petersburg,,,TN,Lincoln County,,931,NA,US,35.31,-86.63,2730
37145,STANDARD,0,Pleasant Shade,Pleasant Shde,,TN,Smith County,,615,NA,US,36.38,-85.91,1930
37146,STANDARD,0,Pleasant View,,,TN,Cheatham County,America/Chicago,615,NA,US,36.37,-87.04,6990
37148,STANDARD,0,Portland,,,TN,Sumner County,,615,NA,US,36.58,-86.51,21170
37149,STANDARD,0,Readyville,,,TN,Cannon County,,,NA,US,35.8,-86.19,2140
37150,STANDARD,0,Red Boiling Springs,Red Blng Spgs,,TN,Macon County,,"931,615",NA,US,36.53,-85.85,4090
37151,STANDARD,0,Riddleton,,,TN,Smith County,America/Chicago,615,NA,US,36.34,-86.03,470
37152,PO BOX,0,Ridgetop,,,TN,Robertson County,America/Chicago,615,NA,US,36.39,-86.77,433
37153,STANDARD,0,Rockvale,,,TN,Rutherford County,,,NA,US,35.75,-86.55,5340
37160,STANDARD,0,Shelbyville,Royal,,TN,Bedford County,America/Chicago,931,NA,US,35.49,-86.44,31360
37161,UNIQUE,0,Shelbyville,,National Pen Company,TN,Bedford County,America/Chicago,931,NA,US,35.49,-86.44,0
37162,PO BOX,0,Shelbyville,,,TN,Bedford County,America/Chicago,931,NA,US,35.49,-86.44,895
37165,PO BOX,0,Slayden,,,TN,Dickson County,America/Chicago,615,NA,US,36.29,-87.47,131
37166,STANDARD,0,Smithville,,,TN,DeKalb County,,"931,615",NA,US,35.95,-85.82,11890
37167,STANDARD,0,Smyrna,,,TN,Rutherford County,America/Chicago,615,NA,US,35.98,-86.51,52220
37171,STANDARD,0,Southside,,,TN,Montgomery County,America/Chicago,"615,931",NA,US,36.36,-87.3,900
37172,STANDARD,0,Springfield,,,TN,Robertson County,America/Chicago,615,NA,US,36.49,-86.87,30690
37174,STANDARD,0,Spring Hill,,,TN,Williamson County,,"615,931",NA,US,35.74,-86.92,34320
37175,STANDARD,0,Stewart,,,TN,Houston County,,931,NA,US,36.32,-87.89,790
37178,STANDARD,0,Tennessee Ridge,Tennessee Rdg,"Tenn Ridge, Tn Ridge",TN,Houston County,America/Chicago,931,NA,US,36.31,-87.76,1910
37179,STANDARD,0,Thompsons Station,Thompsons Stn,,TN,Williamson County,America/Chicago,615,NA,US,35.82,-87.01,12380
37180,STANDARD,0,Unionville,,,TN,Bedford County,America/Chicago,"615,931",NA,US,35.62,-86.59,2930
37181,STANDARD,0,Vanleer,,,TN,Dickson County,America/Chicago,"931,615",NA,US,36.23,-87.44,1240
37183,STANDARD,0,Wartrace,,,TN,Bedford County,America/Chicago,931,NA,US,35.52,-86.33,2860
37184,STANDARD,0,Watertown,,,TN,Wilson County,America/Chicago,615,NA,US,36.09,-86.13,5200
37185,STANDARD,0,Waverly,,,TN,Humphreys County,America/Chicago,931,NA,US,36.09,-87.78,7060
37186,STANDARD,0,Westmoreland,,,TN,Sumner County,,615,NA,US,36.56,-86.24,8010
37187,STANDARD,0,White Bluff,,,TN,Dickson County,,615,NA,US,36.1,-87.21,6300
37188,STANDARD,0,White House,,,TN,Robertson County,,615,NA,US,36.46,-86.66,14210
37189,STANDARD,0,Whites Creek,,,TN,Davidson County,America/Chicago,615,NA,US,36.28,-86.83,3390
37190,STANDARD,0,Woodbury,,,TN,Cannon County,America/Chicago,931,NA,US,35.82,-86.07,7210
37191,STANDARD,0,Woodlawn,,,TN,Montgomery County,America/Chicago,931,NA,US,36.5,-87.54,3810
37201,STANDARD,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,960
37202,PO BOX,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,567
37203,STANDARD,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.15,-86.79,11350
37204,STANDARD,0,Nashville,"Berry Hill, Melrose",,TN,Davidson County,America/Chicago,615,NA,US,36.11,-86.77,11340
37205,STANDARD,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.11,-86.87,22280
37206,STANDARD,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.18,-86.73,22890
37207,STANDARD,0,Nashville,,Northeast,TN,Davidson County,America/Chicago,615,NA,US,36.23,-86.78,34660
37208,STANDARD,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.18,-86.81,13250
37209,STANDARD,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.19,-86.95,30020
37210,STANDARD,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.15,-86.73,13100
37211,STANDARD,0,Nashville,,Woodbine,TN,Davidson County,America/Chicago,615,NA,US,36.07,-86.72,72980
37212,STANDARD,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.13,-86.8,10880
37213,STANDARD,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.77,116
37214,STANDARD,0,Nashville,,Donelson,TN,Davidson County,America/Chicago,615,NA,US,36.16,-86.67,28020
37215,STANDARD,0,Nashville,Forest Hills,,TN,Davidson County,America/Chicago,615,NA,US,36.08,-86.83,20790
37216,STANDARD,0,Nashville,,Jere Baxter,TN,Davidson County,America/Chicago,615,NA,US,36.22,-86.73,16060
37217,STANDARD,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.11,-86.66,31740
37218,STANDARD,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.16,-86.89,12410
37219,STANDARD,0,Nashville,,Nashvle,TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,1320
37220,STANDARD,0,Nashville,Oak Hill,"Forest Hills, Melrose",TN,Davidson County,America/Chicago,615,NA,US,36.07,-86.79,6470
37221,STANDARD,0,Nashville,Bellevue,,TN,Davidson County,America/Chicago,615,NA,US,36.05,-86.97,36780
37222,PO BOX,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,648
37224,PO BOX,0,Nashville,,"Nashvl, Nashvle",TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,320
37227,PO BOX,0,Nashville,,"Nashvl, Nashvle",TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,0
37228,STANDARD,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.2,-86.8,1040
37229,PO BOX,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,505
37230,PO BOX,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,20
37232,UNIQUE,0,Nashville,,Vanderbilt Hospital,TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,0
37234,UNIQUE,0,Nashville,,Lifeway Christian Resources,TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,0
37235,UNIQUE,0,Nashville,,Vanderbilt University Sta B,TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,156
37236,UNIQUE,0,Nashville,,Baptist Hospital,TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,0
37237,UNIQUE,1,Nashville,,Amsouth Bank,TN,Davidson County,America/Chicago,615,NA,US,36.16,-86.78,10
37238,STANDARD,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,0
37240,UNIQUE,0,Nashville,,Vanderbilt University,TN,Davidson County,America/Chicago,615,NA,US,36.14,-86.81,0
37241,UNIQUE,0,Nashville,,Regions Bank,TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,0
37242,UNIQUE,0,Nashville,,Tn Dept Of Revenue,TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,0
37243,UNIQUE,0,Nashville,,"Nashvl, Nashvle, State Postal",TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,34
37244,PO BOX,0,Nashville,,,TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,0
37245,STANDARD,1,Nashville,"Nashvl, Nashvle, Tn Dept Of Employment Sec",,TN,Davidson County,America/Chicago,615,NA,US,36.16,-86.78,0
37246,UNIQUE,0,Nashville,,Nashville Elec Serv,TN,Davidson County,America/Chicago,615,NA,US,36.16,-86.79,0
